# command:    ssu-cmsearch --hmm-cW 1.5 --no-null3 --noalign -T -1 --tab Data_processing/Aligned_sequences/SSU-align_Microperforates/SSU-align_Microperforates.tab --viterbi /usr/local/share/ssu-align-0.1.1/ssu-align-0p1.cm Data/Sequences_Morard/Basetypes_Microperforates.fasta
# date:       Fri Feb 17 14:27:24 2023
# num seqs:   67
# dbsize(Mb): 0.117476
#
# Pre-search info for CM 1: archaea
#
# rnd  mod  alg  cfg   beta  bit sc cut
# ---  ---  ---  ---  -----  ----------
#   1  hmm  vit  loc      -       -1.00
#
# CM: archaea
#                                                                               target coord   query coord                         
#                                                                     ----------------------  ------------                         
# model name  target name                                                  start        stop  start   stop    bit sc   E-value  GC%
# ----------  ------------------------------------------------------  ----------  ----------  -----  -----  --------  --------  ---
  archaea     Basetype_8|basegroup_64|Globigerinita|glutinata                743         781      1   1508     25.12         -   62
  archaea     Basetype_119|basegroup_180|Globigerinita|minuta                117         389      1   1508     22.73         -   48
  archaea     Basetype_120|basegroup_192|Candeina|nitida                     741         779      1   1508     25.12         -   62
  archaea     Basetype_121|basegroup_163|Dentigloborotalia|anfracta          742         780      1   1508     25.12         -   62
  archaea     Basetype_122|basegroup_164|Tenuitellita|iota                   790         828      1   1508     22.99         -   59
  archaea     Basetype_123|basegroup_164|Tenuitellita|iota                   799         837      1   1508     22.99         -   59
  archaea     Basetype_124|basegroup_164|Tenuitellita|iota                   790         828      1   1508     22.99         -   59
  archaea     Basetype_125|basegroup_164|Tenuitellita|iota                   789         827      1   1508     22.99         -   59
  archaea     Basetype_126|basegroup_164|Tenuitellita|iota                   789         827      1   1508     22.99         -   59
  archaea     Basetype_127|basegroup_164|Tenuitellita|iota                   789         827      1   1508     22.99         -   59
  archaea     Basetype_128|basegroup_165|Dentigloborotalia|anfracta          745         783      1   1508     25.12         -   62
  archaea     Basetype_129|basegroup_165|Dentigloborotalia|anfracta          744         782      1   1508     25.12         -   62
  archaea     Basetype_130|basegroup_165|Dentigloborotalia|anfracta          744         782      1   1508     25.12         -   62
  archaea     Basetype_131|basegroup_165|Dentigloborotalia|anfracta          743         781      1   1508     25.12         -   62
  archaea     Basetype_132|basegroup_166|Dentigloborotalia|anfracta          747         785      1   1508     25.12         -   62
  archaea     Basetype_133|basegroup_166|Dentigloborotalia|anfracta          742         780      1   1508     25.12         -   62
  archaea     Basetype_134|basegroup_167|Tenuitellita|iota                   789         827      1   1508     22.99         -   59
  archaea     Basetype_135|basegroup_167|Tenuitellita|iota                   789         827      1   1508     22.99         -   59
  archaea     Basetype_136|basegroup_167|Tenuitellita|iota                   802         840      1   1508     22.99         -   59
  archaea     Basetype_137|basegroup_167|Tenuitellita|iota                   789         827      1   1508     22.99         -   59
  archaea     Basetype_138|basegroup_167|Tenuitellita|iota                   801         839      1   1508     22.99         -   59
  archaea     Basetype_139|basegroup_167|Tenuitellita|iota                   800         838      1   1508     22.99         -   59
  archaea     Basetype_140|basegroup_167|Tenuitellita|iota                   800         838      1   1508     22.99         -   59
  archaea     Basetype_141|basegroup_167|Tenuitellita|iota                   800         838      1   1508     22.99         -   59
  archaea     Basetype_142|basegroup_167|Tenuitellita|iota                   790         828      1   1508     22.99         -   59
  archaea     Basetype_143|basegroup_168|Tenuitellita|fleisheri              791         829      1   1508     22.99         -   59
  archaea     Basetype_144|basegroup_168|Tenuitellita|fleisheri              791         829      1   1508     22.99         -   59
  archaea     Basetype_145|basegroup_168|Tenuitellita|fleisheri              783         821      1   1508     22.99         -   59
  archaea     Basetype_146|basegroup_168|Tenuitellita|fleisheri              792         830      1   1508     22.99         -   59
  archaea     Basetype_147|basegroup_168|Tenuitellita|fleisheri              793         831      1   1508     22.99         -   59
  archaea     Basetype_148|basegroup_168|Tenuitellita|fleisheri              788         826      1   1508     22.99         -   59
  archaea     Basetype_149|basegroup_168|Tenuitellita|fleisheri              789         827      1   1508     22.99         -   59
  archaea     Basetype_180|basegroup_91|Globigerinita|glutinata              733         771      1   1508     25.12         -   62
  archaea     Basetype_181|basegroup_91|Globigerinita|glutinata              737         775      1   1508     25.12         -   62
  archaea     Basetype_182|basegroup_92|Globigerinita|glutinata              737         775      1   1508     25.12         -   62
  archaea     Basetype_183|basegroup_86|Tenuitellita|fleisheri               790         828      1   1508     22.99         -   59
  archaea     Basetype_184|basegroup_86|Tenuitellita|fleisheri               781         819      1   1508     22.99         -   59
  archaea     Basetype_209|basegroup_181|Globigerinita|glutinata             731         769      1   1508     25.12         -   62
  archaea     Basetype_210|basegroup_86|Tenuitellita|fleisheri               781         819      1   1508     22.99         -   59
  archaea     Basetype_211|basegroup_182|Candeina|nitida                     742         780      1   1508     25.12         -   62
  archaea     Basetype_212|basegroup_183|Globigerinita|glutinata             736         774      1   1508     25.12         -   62
  archaea     Basetype_213|basegroup_184|Globigerinita|glutinata             732         770      1   1508     25.12         -   62
  archaea     Basetype_214|basegroup_185|Globigerinita|glutinata             733         771      1   1508     25.12         -   62
  archaea     Basetype_215|basegroup_173|Globigerinita|glutinata             731         769      1   1508     25.12         -   62
  archaea     Basetype_216|basegroup_173|Globigerinita|glutinata             733         771      1   1508     25.12         -   62
  archaea     Basetype_217|basegroup_125|Globigerinita|minuta                101         374      1   1508     21.68         -   47
  archaea     Basetype_217|basegroup_125|Globigerinita|minuta                198         186      1   1508      0.23         -   62
  archaea     Basetype_218|basegroup_175|Globigerinita|glutinata             733         771      1   1508     25.12         -   62
  archaea     Basetype_219|basegroup_192|Candeina|nitida                     741         779      1   1508     25.12         -   62
  archaea     Basetype_220|basegroup_192|Candeina|nitida                     746         784      1   1508     25.12         -   62
  archaea     Basetype_221|basegroup_191|Globigerinita|glutinata             731         769      1   1508     25.12         -   62
  archaea     Basetype_222|basegroup_193|Candeina|nitida                     742         780      1   1508     25.12         -   62
  archaea     Basetype_223|basegroup_193|Candeina|nitida                     741         779      1   1508     25.12         -   62
  archaea     Basetype_224|basegroup_190|Globigerinita|glutinata             732         770      1   1508     25.12         -   62
  archaea     Basetype_225|basegroup_194|Globigerinita|glutinata             732         770      1   1508     25.12         -   62
  archaea     Basetype_265|basegroup_143|Globigerinita|uvula                 790         828      1   1508     22.99         -   59
  archaea     Basetype_267|basegroup_142|Globigerinita|uvula                 790         828      1   1508     22.99         -   59
  archaea     Basetype_268|basegroup_141|Globigerinita|uvula                 788         826      1   1508     22.99         -   59
  archaea     Basetype_269|basegroup_141|Globigerinita|uvula                 786         824      1   1508     22.99         -   59
  archaea     Basetype_270|basegroup_141|Globigerinita|uvula                 788         826      1   1508     22.99         -   59
  archaea     Basetype_271|basegroup_141|Globigerinita|uvula                 788         826      1   1508     22.99         -   59
  archaea     Basetype_272|basegroup_144|Globigerinita|uvula                 788         826      1   1508     22.99         -   59
  archaea     Basetype_273|basegroup_124|Globigerinita|glutinata             735         773      1   1508     25.12         -   62
  archaea     Basetype_274|basegroup_123|Globigerinita|glutinata             737         775      1   1508     25.12         -   62
  archaea     Basetype_276|basegroup_141|Globigerinita|uvula                 786         824      1   1508     22.99         -   59
  archaea     Basetype_334|basegroup_209|Globigerinita|uvula                 787         825      1   1508     22.99         -   59
  archaea     Representative_2|basegroup_199|Neogallitellia|vivans           751         789      1   1508     25.12         -   62
